usertype,starting_station,ride_count
Customer,"Streeter Dr & Grand Ave",53071
Customer,"Lake Shore Dr & Monroe St",39209
Customer,"Millennium Park",21728
Customer,"Michigan Ave & Oak St",21370
Customer,"Shedd Aquarium",20609
Customer,"Lake Shore Dr & North Blvd",18932
Customer,"Theater on the Lake",15015
Subscriber,"Canal St & Adams St",50569
Subscriber,"Clinton St & Madison St",45986
Subscriber,"Clinton St & Washington Blvd",45375
Subscriber,"Columbus Dr & Randolph St",31369
Subscriber,"Franklin St & Monroe St",30828
Subscriber,"Kingsbury St & Kinzie St",30650
Subscriber,"Daley Center Plaza",30420
