"trip_id","start_time","end_time","bikeid","tripduration","from_station_id","from_station_name","to_station_id","to_station_name","usertype","gender","birthyear","ride_length","day_of_week","month","start_hour","end_hour","tripduration_mins","duration_diff","hour","weekday","route_count"
25939438,2019-12-25 17:59:18,2019-12-25 18:41:07,6415,2508,290,"Kedzie Ave & Palmer Ct",290,"Kedzie Ave & Palmer Ct","Customer","Male","1994",41.8166666666667,"Wednesday","Dec","17","18",41.8,0.0166666666666728,17,"Wed",80
25944584,2019-12-26 17:06:58,2019-12-26 17:48:25,4890,2486,341,"Adler Planetarium",35,"Streeter Dr & Grand Ave","Customer","unknown","NA",41.45,"Thursday","Dec","17","17",41.4333333333333,0.0166666666666728,17,"Thu",114
25802961,2019-12-02 08:18:27,2019-12-02 08:35:41,748,1033,425,"Harper Ave & 59th St",426,"Ellis Ave & 60th St","Customer","Male","1990",17.2333333333333,"Monday","Dec","08","08",17.2166666666667,0.0166666666666693,8,"Mon",352
25832235,2019-12-05 17:13:48,2019-12-05 17:34:50,1838,1261,147,"Indiana Ave & 26th St",75,"Canal St & Jackson Blvd","Customer","unknown","NA",21.0333333333333,"Thursday","Dec","17","17",21.0166666666667,0.0166666666666693,17,"Thu",91
25882792,2019-12-13 17:36:30,2019-12-13 17:54:40,1977,1089,85,"Michigan Ave & Oak St",177,"Theater on the Lake","Customer","unknown","NA",18.1666666666667,"Friday","Dec","17","17",18.15,0.0166666666666693,17,"Fri",637
25934664,2019-12-24 08:55:29,2019-12-24 09:14:46,3690,1156,284,"Michigan Ave & Jackson Blvd",59,"Wabash Ave & Roosevelt Rd","Customer","unknown","NA",19.2833333333333,"Tuesday","Dec","08","09",19.2666666666667,0.0166666666666693,8,"Tue",193
25939311,2019-12-25 17:03:00,2019-12-25 17:34:40,3981,1899,623,"Michigan Ave & 8th St",623,"Michigan Ave & 8th St","Customer","unknown","NA",31.6666666666667,"Wednesday","Dec","17","17",31.65,0.0166666666666693,17,"Wed",117
25939419,2019-12-25 17:46:56,2019-12-25 18:18:13,4566,1876,90,"Millennium Park",255,"Indiana Ave & Roosevelt Rd","Customer","unknown","NA",31.2833333333333,"Wednesday","Dec","17","18",31.2666666666667,0.0166666666666693,17,"Wed",874
25944563,2019-12-26 17:05:19,2019-12-26 17:30:36,5185,1516,459,"Lakefront Trail & Bryn Mawr Ave",459,"Lakefront Trail & Bryn Mawr Ave","Customer","unknown","NA",25.2833333333333,"Thursday","Dec","17","17",25.2666666666667,0.0166666666666693,17,"Thu",335
25949434,2019-12-27 17:52:29,2019-12-27 18:17:58,5501,1528,341,"Adler Planetarium",90,"Millennium Park","Customer","unknown","NA",25.4833333333333,"Friday","Dec","17","18",25.4666666666667,0.0166666666666693,17,"Fri",152
25802717,2019-12-02 08:04:11,2019-12-02 08:18:12,5068,840,659,"Leavitt St & Chicago Ave",69,"Damen Ave & Pierce Ave","Customer","unknown","NA",14.0166666666667,"Monday","Dec","08","08",14,0.0166666666666675,8,"Mon",129
25803009,2019-12-02 08:21:15,2019-12-02 08:36:00,948,884,214,"Damen Ave & Grand Ave",66,"Clinton St & Lake St","Customer","Female","1990",14.75,"Monday","Dec","08","08",14.7333333333333,0.0166666666666675,8,"Mon",228
25806327,2019-12-02 17:00:57,2019-12-02 17:13:04,5070,726,328,"Ellis Ave & 58th St",419,"Lake Park Ave & 53rd St","Customer","unknown","NA",12.1166666666667,"Monday","Dec","17","17",12.1,0.0166666666666675,17,"Mon",190
25806524,2019-12-02 17:09:54,2019-12-02 17:22:33,3527,758,88,"Racine Ave & Randolph St",192,"Canal St & Adams St","Customer","Male","1996",12.65,"Monday","Dec","17","17",12.6333333333333,0.0166666666666675,17,"Mon",131
25807254,2019-12-02 17:47:31,2019-12-02 17:57:02,4010,570,260,"Kedzie Ave & Milwaukee Ave",503,"Drake Ave & Fullerton Ave","Customer","unknown","NA",9.51666666666667,"Monday","Dec","17","17",9.5,0.0166666666666675,17,"Mon",299
25814936,2019-12-03 17:35:38,2019-12-03 17:43:49,986,490,210,"Ashland Ave & Division St",305,"Western Ave & Division St","Customer","Male","1994",8.18333333333333,"Tuesday","Dec","17","17",8.16666666666667,0.0166666666666675,17,"Tue",728
25818860,2019-12-04 08:20:29,2019-12-04 08:34:25,423,835,182,"Wells St & Elm St",287,"Franklin St & Monroe St","Customer","Female","1988",13.9333333333333,"Wednesday","Dec","08","08",13.9166666666667,0.0166666666666675,8,"Wed",300
25822850,2019-12-04 17:05:07,2019-12-04 17:17:05,4550,717,111,"Sedgwick St & Huron St",192,"Canal St & Adams St","Customer","Male","1957",11.9666666666667,"Wednesday","Dec","17","17",11.95,0.0166666666666675,17,"Wed",437
25823303,2019-12-04 17:22:23,2019-12-04 17:32:26,4963,602,48,"Larrabee St & Kingsbury St",91,"Clinton St & Washington Blvd","Customer","unknown","NA",10.05,"Wednesday","Dec","17","17",10.0333333333333,0.0166666666666675,17,"Wed",938
25823832,2019-12-04 17:49:52,2019-12-04 18:01:33,5360,700,74,"Kingsbury St & Erie St",110,"Dearborn St & Erie St","Customer","Male","1996",11.6833333333333,"Wednesday","Dec","17","18",11.6666666666667,0.0166666666666675,17,"Wed",609
25831980,2019-12-05 17:03:46,2019-12-05 17:15:57,6630,730,211,"St. Clair St & Erie St",91,"Clinton St & Washington Blvd","Customer","Female","1992",12.1833333333333,"Thursday","Dec","17","17",12.1666666666667,0.0166666666666675,17,"Thu",913
